ensembl_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
ENSMUSG00000004207,0,5.07726951742717,2.508614441661015,6.632979173250334,7.38559760130927,8.493786695626106,11.5816138738685,5293.117380253766,8
ENSMUSG00000004317,0,0,1.5536391841603132,0.8228642119502708,0,1.065089569771625,8.71872690384203,656.6456411363157,458
ENSMUSG00000004609,0,0,1.5119613761602468,0.5118308868654791,0,0,9.1138741128917,408.44104771865244,622
ENSMUSG00000004631,0,0,1.6206878117526868,0.8739941786362071,0,1.15047223848823,9.1178352165348,697.447354551693,423
ENSMUSG00000004707,0,0,2.229746721843503,1.2893851348940688,0,1.4507680590681222,9.18360853736932,1028.9293376454684,446
ENSMUSG00000004709,0,0,2.4898920208830093,1.4439008532098307,0.39308482320598703,1.366721974808085,10.3033748894255,1152.2328808614457,394
ENSMUSG00000004730,0,0,0.6261250518345508,0.1557108779573541,0,0,7.37515245507963,124.25728060996857,701
ENSMUSG00000005087,0.80104301471262,7.015875380111476,2.364144216386646,7.712955095300783,8.496070942389055,9.32441254140207,11.0414914453475,6154.938166050022,0
ENSMUSG00000005339,0,0,0.9497817654340258,0.13736063610045832,0,0,11.7004827519556,109.61378760816619,763
ENSMUSG00000005465,0,0,2.6405434141754967,1.8413231898536413,0.759320505139062,2.1209630540254096,9.83625845997478,1469.3759055032062,349
ENSMUSG00000005540,0,0,0.4692250389303583,0.08858758149244148,0,0,6.28324751802265,70.69289003096807,745
ENSMUSG00000005672,1.38554217379082,8.036057050271967,1.6259294500658203,8.69359039972416,9.047018046953484,9.729970973380018,12.0508171365266,6937.485138979882,0
ENSMUSG00000006386,0,0,2.2613691062440386,1.0869913821204717,0,1.0725773757559376,10.7792473854239,867.4191229321367,486
ENSMUSG00000007613,0,0,2.99965061510399,2.7552297964987176,1.38645438720993,5.650425190863412,9.94774568413644,2198.6733776059773,267
ENSMUSG00000007891,1.7117591045203,8.234007876674882,1.779205825948668,8.78816010602482,9.197801210995735,9.932800584649822,11.9269317467429,7012.951764607809,0
ENSMUSG00000009291,0,2.8682610702261426,3.0776343145188827,6.021937529264133,7.31429062321957,8.576784986020808,11.554901248246,4805.506148352781,23
ENSMUSG00000009376,0,0,1.713707814193671,0.6419017420994613,0,0.3028797775989628,9.32404975801506,512.2375901953706,596
ENSMUSG00000012428,0,0,0.31630637816516044,0.01642912490258052,0,0,8.66668390834525,13.110441672259272,792
ENSMUSG00000013236,0,2.223141153493975,2.864992412179293,4.901091861082999,5.408830885662891,7.322863096423058,10.7612754971337,3911.0713051442317,44
ENSMUSG00000014158,0,0,0.8518284764870186,0.3076800987996262,0,0,9.71257923946248,245.5287188421016,606
ENSMUSG00000014353,0,0,2.573582686950352,2.003768281926412,0.956498431312918,2.4616478954090675,10.2915002962451,1599.0070889772783,263
ENSMUSG00000015189,0,1.87713442750541,2.9137070957043787,4.624808481938928,4.415576386673295,7.48376848033236,10.9747670776945,3690.597168587261,26
ENSMUSG00000015314,0,0,1.1868503855584156,0.4203690604292189,0,0.2678683272757355,9.43154785940353,335.4545102225169,595
ENSMUSG00000015316,0,0,2.1299368923555226,1.1556394201050135,0,1.2493899338747074,10.3330214996622,922.2002572438003,414
ENSMUSG00000015355,0,3.221080944839315,3.2049839979423114,6.6807234989227124,8.006718374452355,9.23064285497637,11.2591418109323,5331.217352140323,17
ENSMUSG00000016494,0,3.2636563802547474,3.485285405207279,6.400951722706318,5.18441492495179,9.969170100075615,12.2555697482543,5107.959474719638,7
ENSMUSG00000016496,0,0,2.168433404138582,1.2300228726557152,0,1.377812126886195,9.37506866377065,981.55825237926,410
ENSMUSG00000016534,0.434868082055924,5.575679800508685,2.437667550667113,7.098454686948843,7.94382533878845,8.839121567168581,11.0430438974799,5664.566840185179,0
ENSMUSG00000017756,0,0,2.093983495145405,1.06989958530161,0,1.0734543767043576,9.34773805954562,853.7798690706857,489
ENSMUSG00000018166,0,0,1.8764147999797247,0.8547291123643491,0,0.8495725342905522,10.9414314803861,682.0738316667514,522
ENSMUSG00000018341,0,0,2.0529146174470214,0.914628968386069,0,0.8046213476175847,9.80815510728903,729.873916772083,546
ENSMUSG00000018500,0,0,0.45814732572708333,0.07916805023212439,0,0,7.21416481682846,63.17610408523521,750
