cell,min,lowerq,mean,median,sd,upperq,max,n_zero
LT.HSC_001,0,0,2.273228979329444,0,3.2783701063339046,3.47443359233466,11.3668740879676,166
LT.HSC_002,0,0,2.557111599095052,1.40432861542016,3.338245319076451,5.368984775514916,10.273628062982,135
LT.HSC_003,0,0,2.241545080419037,0,3.302492085879857,3.41217321087977,11.4327708749521,171
LT.HSC_004,0,0,2.288451255161726,0,3.0377829810359733,3.2125847550898174,10.3220417531006,141
LT.HSC_006,0,0,1.9595598713370974,0,2.992575187642296,2.4963089358151,11.3213432230738,154
LT.HSC_009,0,0,2.0933008758443394,0,3.126239390852289,2.08678224506155,10.9374954230342,142
LT.HSC_010,0,0,2.331100649107179,0,3.4671264835512106,3.1159309502202177,12.0190223168022,153
LT.HSC_012,0,0,2.1722615059142103,1.52809189182743,2.847824232591391,2.823758392772115,9.75784836283038,127
LT.HSC_013,0,0,2.204779113599217,1.87097274394333,2.966247657396539,3.16565050341337,10.2443077095288,137
LT.HSC_014,0,0,2.448493153228254,0,3.4478385421427986,3.31152088699042,11.7917589565897,152
LT.HSC_015,0,0,2.1619207591557377,0,3.0991136506581682,3.05263994170669,10.6820200858896,144
LT.HSC_016,0,0,2.3777223954213156,1.65706979532487,3.231255464001715,3.26528881787327,11.1491475288145,137
LT.HSC_017,0,0,2.1101270344612004,0,3.054232693776736,2.33298026528808,11.666194628313,143
LT.HSC_018,0,0,2.1519712040457413,0,3.1754352362869533,2.20725821363092,11.2903840487011,146
LT.HSC_020,0,0,2.36168335372244,1.19689821016323,3.3078410372961247,3.1797344405563224,10.58173556534,136
LT.HSC_021,0,0,2.3556634825765435,1.00127301066588,3.397389454857178,3.418861283208238,11.1156347345541,137
LT.HSC_022,0,0,1.9832025894531122,0,2.9883541021540294,3.12134710141835,11.6684840292323,167
LT.HSC_023,0,0,2.219281427133918,1.62492006178338,2.9495383020930057,2.85852856867465,11.8039252683324,126
LT.HSC_024,0,0,2.009104013171687,0,3.1505653847907737,2.26761794456541,12.9287982950719,146
LT.HSC_026,0,0,2.327204126459586,0,3.2819606327255917,3.30457567840981,12.2264118361091,145
LT.HSC_028,0,0,2.2157793766677023,0,3.3116193610832183,2.85253171970068,12.5112854392547,141
LT.HSC_031,0,0,2.0962178554444124,0.945218189792169,3.1400714514681316,2.49246860369435,11.5554210893666,130
LT.HSC_032,0,0,1.9940332333431023,0.255132360594337,3.524520000561294,0.766156596752307,12.4951585512285,91
LT.HSC_033,0,0,2.0373741929414644,1.32876490270744,2.8810251031052307,2.555837870898068,10.5788500798904,133
LT.HSC_034,0,0,2.1702034547965283,1.4304332001122,3.0710270387687473,2.95997511960558,11.7987859052428,138
LT.HSC_036,0,0,2.1033804612618012,0.607498708716532,3.141896916671776,2.37543502692432,11.2634609655731,113
LT.HSC_039,0,0,2.1837200773291627,0,3.1441627101327114,3.22699371421414,10.4829071228013,161
LT.HSC_040,0,0,2.429378626793886,1.64120459660513,3.281967808711389,3.5355937136807,11.747539494504,138
LT.HSC_041,0,0,2.4236644425477043,0,3.133397329272281,3.89227199805411,10.7256391672815,143
LT.HSC_043,0,0.138255780239911,1.5462545056510872,0.380420432040834,2.6747761078297434,1.14201119024058,11.0740021887464,54
LT.HSC_044,0,1.06640650246394,1.8265919622066988,1.67284218846193,1.564026025757913,2.69400044684557,7.03574548278312,69
LT.HSC_045,0,0,2.416296222276959,0,3.3052486492215762,3.76120911243882,12.1412509500146,146
LT.HSC_046,0,0,1.9912087581305524,0.994092255853422,3.0052435160688824,2.31246405719127,10.9902777932727,130
LT.HSC_049,0,0,3.1343998419698798,2.36587266236184,3.36968178967045,5.41096635875396,11.5590286627258,119
LT.HSC_050,0,0,2.4063277495117568,1.8470228708866,3.0751951340914374,3.50973144909583,11.2664917800883,135
LT.HSC_051,0,0,2.483576365941968,2.07432767764451,3.0411009352929086,3.79138945384431,11.6055427745161,130
LT.HSC_052,0,0,2.385889964393546,0.870850421312503,3.29455244051376,2.93166878548738,11.6759742336717,116
LT.HSC_054,0,0,2.3144092968645062,1.84763545594962,2.913419153369381,3.230421268246315,11.0843081240891,129
LT.HSC_055,0,0,2.5322847566650633,0.490596852942285,3.4259238506604555,5.319100547044471,10.7341374926767,94
LT.HSC_056,0,0,2.4970578708572027,0.619295742807511,3.2588410420754563,4.824133367158183,11.7752455973426,100
LT.HSC_057,0,0,1.947279303596786,1.0556029660764,2.9200825961301873,2.08262094168628,12.3282887015812,120
LT.HSC_058,0,0,2.549223008970326,1.1217336759401255,3.328377958108543,3.88277003686499,10.8247556711063,110
LT.HSC_060,0,0,2.297484932358968,0.56719942363499,3.2678394838656093,2.4753045302833625,11.5722235839276,94
LT.HSC_062,0,0,2.8843488695396498,2.50494276929837,3.3572650536023096,3.90965836935237,13.0694465848899,117
LT.HSC_063,0,0,1.901169576374103,0.865034322958525,2.7124976907988487,1.95413692459389,9.99424821555403,92
LT.HSC_064,0,0,2.1597132215548602,0.806916609333584,3.2830865914811893,1.99923286532059,13.1188909634904,116
LT.HSC_065,0,0,2.6569343938975885,1.0355933626448799,3.210525437194864,5.483120230546577,11.3205999268166,98
LT.HSC_066,0,0,2.244475320913484,1.40872160843829,2.918738092111696,2.92980458267193,11.9397105374851,119
LT.HSC_068,0,0,2.5508298038909802,0.558970440206636,3.43961270695154,4.3826332721229395,11.8433665727225,95
